sample	population	vapr	AnnTemp	Iso	TempSea	MaxTempWarm	MinTempCold	AnnPre	PreWet	PreDry	Lats.	Lons.
AB0182-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0183-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0184-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0185-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0186-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0187-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0188-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0189-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0190-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0191-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0192-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0195-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0196-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0197-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0198-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0199-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0200-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0201-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0202-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0203-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0204-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0205-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0206-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0207-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0208-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0209-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0210-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0211-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0212-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0213-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0215-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0217-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0218-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0219-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0221-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0222-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0223-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0224-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0226-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0227-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0228-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0229-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0231-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0232-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0233-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0234-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0235-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0236-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0237-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
